RUTAS DE PRUEBA
  raíz:                 C:\Users\ADMIN~1.JLO\AppData\Local\Temp\_a33-bloque1-PRUEBAS
  ubicación real det.:  (no configurada / no legible)
  carpeta por defecto:  C:\Users\admin.jlopezr\AppData\Roaming\panorama-app
  (las tres comprobadas por el guardián antes de cada carpeta)

=== A. REGRESIÓN DE LA API ACTUAL de db.js ===
  OK    getDb() devuelve el objeto de base de datos
  OK    getDb() es idempotente (segunda llamada devuelve el mismo)
  OK    getDbPath() apunta al .sqlite3 de la carpeta
  OK    el archivo existe en disco
  OK    run() con INSERT devuelve un id numérico
  OK    run() con el segundo INSERT devuelve id+1
  OK    get() devuelve un objeto plano
  OK    get() trae las columnas por nombre
  OK    get() devuelve null si no hay fila
  OK    all() devuelve un array
  OK    all() trae objetos con columnas por nombre
  OK    all() devuelve [] si no hay filas
  OK    UPDATE se aplica
  OK    DELETE se aplica
  OK    run() sigue devolviendo el id de la fila recién insertada
  OK    lastInsertRowId() conserva su comportamiento previo (0 tras persistir)
  OK    lastInsertRowId() sigue devolviendo un número, no lanza
  OK    setMeta + getMeta funcionan
  OK    setMeta sobrescribe sin duplicar
  OK    deleteMeta funciona
  OK    getMeta de una clave inexistente devuelve null
  OK    app_meta contiene las 4 claves de A3.3
  OK    25 escrituras consecutivas
  OK    vacuum() no lanza y avanza una generación
  OK    vacuum() conserva los datos
  OK    reapertura: los datos siguen
  OK    reapertura: mismo commit, sin generación espuria
  OK    reapertura: se puede seguir escribiendo

=== B. COMPATIBILIDAD HACIA ATRÁS — base de datos anterior a A3.3 ===
  OK    preparación: BD legada sin .gen ni db_commit_id
  OK    se abre una BD anterior a A3.3 sin lanzar
  OK    conserva sus datos
  OK    conserva su app_meta
  OK    recibe identidad de commit al abrir
  OK    y su .gen coherente
  OK    el .gen apunta al mismo commit que la BD
  OK    la migración de esquema se aplicó (columna backup_dir)

=== C. NÚCLEO A3.3 CONTRA EL db.js REAL ===
  OK    hay installation-id persistido
  OK    política por defecto = local (no cambia el comportamiento)
  OK    dirty = false tras abrir
  OK    hay imagen confirmada
  OK    20 escrituras -> 21 commits distintos
  OK    historial acotado a 20
  OK    .gen y BD llevan el mismo commit
  OK    F_mio coincide con el hash real del archivo
  OK    ultimaImagenConfirmada coincide byte a byte con el disco
  OK    los temporales llevan writer y nonce, no el PID
  OK    todos los temporales son distintos
  OK    con el latch fatal, run() no escribe
  OK    ...y vacuum() TAMPOCO (era el agujero de main.js:844)
